pair_id,scenario,source_robot,source_key,source_timestamp,target_robot,target_key,target_timestamp,status,label,scene_type,fitness,fitness_threshold,init_yaw_step,init_yaw_rad,converged,scan_raw,map_raw,scan_filtered,map_filtered,pcd_saved,evidence_dir,original_csv,original_seq,gicp_status,loop_symbol_pair,entered_pcm,pcm_status,final_used,failure_type,pcm_log_file,pcm_log_line,pcm_log_action
scenario_01_long1_rerun_20260528_00000,scenario_01_long1_rerun_20260528,robot_1,23,1014.642753123,robot_0,13,1009.271602123,passed,0,hard_negative,0.087509,0.300000,20,2.094395,1,2781,77926,2781,7040,1,evidence_pairs/scenario_01_long1_rerun_20260528_00000,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_0_pid99609/loop_matches.csv,0,passed,b23-a13,1,accepted_used,1,pcm_accepted_false_positive,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,144,add
scenario_01_long1_rerun_20260528_00001,scenario_01_long1_rerun_20260528,robot_1,29,1016.941467046,robot_0,6,1007.170944177,passed,0,hard_negative,0.151170,0.300000,39,-2.199115,1,2812,81011,2812,7130,1,evidence_pairs/scenario_01_long1_rerun_20260528_00001,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_0_pid99609/loop_matches.csv,1,passed,b29-a6,1,accepted_used,1,pcm_accepted_false_positive,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,146,add
scenario_01_long1_rerun_20260528_00002,scenario_01_long1_rerun_20260528,robot_1,35,1023.038138150,robot_0,3,1005.071348772,passed,0,hard_negative,0.295552,0.300000,40,-2.094395,1,2704,87040,2704,7294,1,evidence_pairs/scenario_01_long1_rerun_20260528_00002,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_0_pid99609/loop_matches.csv,2,passed,b35-a3,1,accepted_used,1,pcm_accepted_false_positive,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,145,add
scenario_01_long1_rerun_20260528_00044,scenario_01_long1_rerun_20260528,robot_0,22,1014.170811411,robot_1,21,1013.843600034,passed,0,hard_negative,0.057632,0.300000,40,-2.094395,1,2991,72882,2991,6587,1,evidence_pairs/scenario_01_long1_rerun_20260528_00044,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,0,passed,a22-b21,1,accepted_used,1,pcm_accepted_false_positive,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,184,add
scenario_01_long1_rerun_20260528_00047,scenario_01_long1_rerun_20260528,robot_0,26,1016.672535851,robot_1,6,1007.846433161,passed,1,true_loop,0.148623,0.300000,0,0.000000,1,3085,86826,3085,6806,1,evidence_pairs/scenario_01_long1_rerun_20260528_00047,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,3,passed,a26-b6,1,accepted_used,1,accepted_true_loop,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,186,add
scenario_01_long1_rerun_20260528_00060,scenario_01_long1_rerun_20260528,robot_0,42,1034.371085536,robot_1,17,1012.244017123,passed,1,true_loop,0.161855,0.300000,1,0.104720,1,2168,118783,2168,7735,1,evidence_pairs/scenario_01_long1_rerun_20260528_00060,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,16,passed,a42-b17,1,accepted_used,1,accepted_true_loop,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,185,add
scenario_01_long1_rerun_20260528_00061,scenario_01_long1_rerun_20260528,robot_0,43,1035.371071537,robot_1,17,1012.244017123,passed,1,true_loop,0.170878,0.300000,1,0.104720,1,2162,118783,2162,7735,1,evidence_pairs/scenario_01_long1_rerun_20260528_00061,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,17,passed,a43-b17,1,accepted_used,1,accepted_true_loop,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,293,add
scenario_01_long1_rerun_20260528_00088,scenario_01_long1_rerun_20260528,robot_0,70,1065.370219534,robot_1,51,1038.729317187,passed,0,hard_negative,0.262522,0.300000,0,0.000000,1,1741,111038,1741,9825,1,evidence_pairs/scenario_01_long1_rerun_20260528_00088,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,44,passed,a70-b51,1,rejected_not_used,0,gicp_false_positive_not_used,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,316,reject_batch
scenario_01_long1_rerun_20260528_00091,scenario_01_long1_rerun_20260528,robot_0,73,1068.469747532,robot_1,68,1057.219650029,passed,0,hard_negative,0.283810,0.300000,0,0.000000,1,1703,70751,1703,8348,1,evidence_pairs/scenario_01_long1_rerun_20260528_00091,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,47,passed,a73-b68,1,rejected_not_used,0,gicp_false_positive_not_used,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,316,reject_batch
scenario_01_long1_rerun_20260528_00092,scenario_01_long1_rerun_20260528,robot_0,74,1069.770099806,robot_1,67,1056.021079062,passed,0,hard_negative,0.239228,0.300000,0,0.000000,1,1643,75374,1643,8807,1,evidence_pairs/scenario_01_long1_rerun_20260528_00092,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/loop_debug/robot_1_pid99615/loop_matches.csv,48,passed,a74-b67,1,rejected_not_used,0,gicp_false_positive_not_used,/home/wurenche/co_lrio_output/20260528_ml_joint_rerun_analysis/long1_my_long1_params/long1_my_long1_params.launch.log,316,reject_batch
