robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_1,0,1000.173794268,0.0000000000,0.0000000000,0.0000000000,0.0268394835,0.0143947210,-0.0003865262,0.9995360374
robot_1,1,1003.272239445,0.5153529048,0.0245556086,-0.0027539437,0.0172409117,0.0226210356,0.0577482544,0.9979259372
robot_1,2,1004.571018218,1.0821675062,0.1081339642,-0.0127550429,0.0071571986,0.0198051967,0.0579497144,0.9980973601
robot_1,3,1005.770469426,1.6330652237,0.1415507048,-0.0215681568,0.0022428527,0.0107058268,0.0430202596,0.9990143180
robot_1,4,1006.969923257,2.1478681564,0.1706423163,-0.0497514717,0.0103044938,0.0264676921,0.0374877453,0.9988933802
robot_1,5,1008.169142245,2.6502223015,0.1869643182,-0.0424286015,0.0175368506,0.0072893593,0.0312853344,0.9993300438
robot_1,6,1009.268992423,3.1695940495,0.2111521214,-0.0471267328,0.0135744037,0.0260897949,0.0254030153,0.9992445707
robot_1,7,1010.567579268,3.7045440674,0.2398670465,-0.0546694063,0.0048436760,0.0230355747,0.0190032031,0.9995422959
robot_1,8,1011.667425393,4.2263975143,0.2640250027,-0.0671003535,0.0017119434,0.0307546854,0.0134698413,0.9994347095
robot_1,9,1012.966302394,4.7515177727,0.2707695961,-0.0952652991,-0.0027978609,0.0267199799,0.0099724894,0.9995893240
robot_1,10,1014.266213416,5.2902879715,0.2742341459,-0.0982235894,-0.0060780221,0.0227770023,0.0086211720,0.9996849298
robot_1,11,1015.665216445,5.8449220657,0.2801209688,-0.1023556963,-0.0134321945,0.0216759760,0.0094921505,0.9996297359
robot_1,12,1016.864326238,6.3709926605,0.2902185023,-0.1109402254,-0.0181836933,0.0147726461,0.0130312918,0.9996405840
robot_1,13,1018.163729429,6.8836412430,0.2894499004,-0.1301134974,-0.0057001682,0.0407454260,0.0234902482,0.9988771081
robot_1,14,1019.263147353,7.3933539391,0.2908500433,-0.1475080848,0.0039601610,0.0286754854,0.0348114707,0.9989745617
robot_1,15,1020.562558411,7.8973236084,0.3165774345,-0.1686008424,0.0155867487,0.0093999142,0.0167032722,0.9996948242
robot_1,16,1021.961239337,8.4800443649,0.3500232995,-0.1494735032,-0.0035045049,0.0223935209,0.0150386915,0.9996299744
robot_1,17,1023.061154364,9.0232925415,0.3548367321,-0.1426310837,-0.0043356307,0.0136612486,0.0156980734,0.9997740388
robot_1,18,1024.560649394,9.5433130264,0.3717094064,-0.1801863313,-0.0169440228,0.0240164082,0.0198672190,0.9993705153
robot_1,19,1026.06013131,10.0626125336,0.3711999953,-0.1689874828,-0.0106496904,0.0151895462,0.0197145101,0.9996335506
