pair_id,scenario,source_robot,source_key,target_robot,target_key,label,scene_type,failure_type,gicp_status,fitness,fitness_threshold,converged,scan_raw,map_raw,scan_filtered,map_filtered,scan_filtered_ratio,map_filtered_ratio,source_raw_points,target_submap_points,source_gicp_points,source_bbox_x,source_bbox_y,source_bbox_z,target_bbox_x,target_bbox_y,target_bbox_z,centroid_shift_init_to_gicp,centroid_distance_after_gicp,pcm_status,entered_pcm,final_used,loop_symbol_pair
scenario_01_long1_rerun_20260528_00000,scenario_01_long1_rerun_20260528,robot_1,23,robot_0,13,0,hard_negative,pcm_accepted_false_positive,passed,0.087509,0.300000,1,2781,77926,2781,7040,1.000000,0.090342,2781,77926,2781,46.698845,79.472748,4.272794,117.791374,24.157360,5.084099,1.597258,0.699555,accepted_used,1,1,b23-a13
scenario_01_long1_rerun_20260528_00001,scenario_01_long1_rerun_20260528,robot_1,29,robot_0,6,0,hard_negative,pcm_accepted_false_positive,passed,0.151170,0.300000,1,2812,81011,2812,7130,1.000000,0.088013,2812,81011,2812,69.708908,72.914978,6.858547,117.791382,24.159672,5.084099,3.211578,0.602653,accepted_used,1,1,b29-a6
scenario_01_long1_rerun_20260528_00002,scenario_01_long1_rerun_20260528,robot_1,35,robot_0,3,0,hard_negative,pcm_accepted_false_positive,passed,0.295552,0.300000,1,2704,87040,2704,7294,1.000000,0.083801,2704,87040,2704,90.821716,27.647976,7.313979,117.791382,25.896008,5.084099,4.108225,0.749538,accepted_used,1,1,b35-a3
scenario_01_long1_rerun_20260528_00044,scenario_01_long1_rerun_20260528,robot_0,22,robot_1,21,0,hard_negative,pcm_accepted_false_positive,passed,0.057632,0.300000,1,2991,72882,2991,6587,1.000000,0.090379,2991,72882,2991,73.182716,72.386734,8.101717,116.138351,19.570961,4.494653,2.548424,1.527572,accepted_used,1,1,a22-b21
scenario_01_long1_rerun_20260528_00047,scenario_01_long1_rerun_20260528,robot_0,26,robot_1,6,1,true_loop,accepted_true_loop,passed,0.148623,0.300000,1,3085,86826,3085,6806,1.000000,0.078387,3085,86826,3085,49.740368,102.375404,8.083944,116.138351,19.570961,4.494653,2.860569,1.964693,accepted_used,1,1,a26-b6
scenario_01_long1_rerun_20260528_00060,scenario_01_long1_rerun_20260528,robot_0,42,robot_1,17,1,true_loop,accepted_true_loop,passed,0.161855,0.300000,1,2168,118783,2168,7735,1.000000,0.065119,2168,118783,2168,101.475182,12.577330,5.192969,123.035080,19.570961,4.924472,8.179102,6.578539,accepted_used,1,1,a42-b17
scenario_01_long1_rerun_20260528_00061,scenario_01_long1_rerun_20260528,robot_0,43,robot_1,17,1,true_loop,accepted_true_loop,passed,0.170878,0.300000,1,2162,118783,2162,7735,1.000000,0.065119,2162,118783,2162,97.703079,15.079362,3.497920,123.035080,19.570961,4.924472,8.703761,9.159074,accepted_used,1,1,a43-b17
scenario_01_long1_rerun_20260528_00088,scenario_01_long1_rerun_20260528,robot_0,70,robot_1,51,0,hard_negative,gicp_false_positive_not_used,passed,0.262522,0.300000,1,1741,111038,1741,9825,1.000000,0.088483,1741,111038,1741,105.959274,6.944898,5.382382,139.170685,18.983427,5.105141,0.778944,8.043789,rejected_not_used,1,0,a70-b51
scenario_01_long1_rerun_20260528_00091,scenario_01_long1_rerun_20260528,robot_0,73,robot_1,68,0,hard_negative,gicp_false_positive_not_used,passed,0.283810,0.300000,1,1703,70751,1703,8348,1.000000,0.117991,1703,70751,1703,105.147919,5.112186,3.776950,121.861862,21.254475,5.074711,1.505040,12.642972,rejected_not_used,1,0,a73-b68
scenario_01_long1_rerun_20260528_00092,scenario_01_long1_rerun_20260528,robot_0,74,robot_1,67,0,hard_negative,gicp_false_positive_not_used,passed,0.239228,0.300000,1,1643,75374,1643,8807,1.000000,0.116844,1643,75374,1643,87.186653,5.119782,5.486276,121.861862,35.424484,5.093409,1.415903,10.448346,rejected_not_used,1,0,a74-b67
scenario_02_long2_rerun_20260528_00017,scenario_02_long2_rerun_20260528,robot_0,139,robot_1,131,0,hard_negative,pcm_accepted_false_positive,passed,0.035007,0.300000,1,2953,69669,2953,7150,1.000000,0.102628,2953,69669,2953,19.712353,115.012222,3.918200,116.519951,21.455677,4.222446,3.695456,1.223070,accepted_used,1,1,a139-b131
scenario_02_long2_rerun_20260528_00019,scenario_02_long2_rerun_20260528,robot_0,146,robot_1,109,0,hard_negative,pcm_accepted_false_positive,passed,0.072975,0.300000,1,2984,115846,2984,8838,1.000000,0.076291,2984,115846,2984,105.239151,23.926212,4.358572,122.103592,21.455677,4.741676,3.760389,3.926411,accepted_used,1,1,a146-b109
scenario_02_long2_rerun_20260528_00020,scenario_02_long2_rerun_20260528,robot_0,147,robot_1,113,0,hard_negative,pcm_accepted_false_positive,passed,0.089392,0.300000,1,3104,111831,3104,8708,1.000000,0.077867,3104,111831,3104,99.454132,26.322075,4.887085,122.103592,21.455677,4.741676,2.045615,3.562120,accepted_used,1,1,a147-b113
scenario_02_long2_rerun_20260528_00021,scenario_02_long2_rerun_20260528,robot_0,148,robot_1,122,0,hard_negative,pcm_accepted_false_positive,passed,0.096413,0.300000,1,2899,103073,2899,8156,1.000000,0.079128,2899,103073,2899,101.935562,24.118919,6.614144,116.519951,21.455677,4.647570,1.910547,0.822765,accepted_used,1,1,a148-b122
scenario_02_long2_rerun_20260528_00022,scenario_02_long2_rerun_20260528,robot_0,149,robot_1,122,0,hard_negative,pcm_accepted_false_positive,passed,0.199066,0.300000,1,2987,108287,2987,8218,1.000000,0.075891,2987,108287,2987,103.282791,26.414299,5.387430,116.519951,21.455677,4.647570,1.475674,1.917924,accepted_used,1,1,a149-b122
scenario_02_long2_rerun_20260528_00023,scenario_02_long2_rerun_20260528,robot_0,150,robot_1,120,0,hard_negative,pcm_accepted_false_positive,passed,0.239224,0.300000,1,3000,112297,3000,8366,1.000000,0.074499,3000,112297,3000,94.942108,42.196064,5.431113,116.519951,21.455677,4.647570,1.159247,2.746411,accepted_used,1,1,a150-b120
scenario_02_long2_rerun_20260528_00025,scenario_02_long2_rerun_20260528,robot_0,165,robot_1,142,0,hard_negative,pcm_accepted_false_positive,passed,0.126081,0.300000,1,2888,78772,2888,6801,1.000000,0.086338,2888,78772,2888,103.913986,44.944263,3.871319,113.745789,21.455677,4.180858,2.033707,3.504856,accepted_used,1,1,a165-b142
scenario_02_long2_rerun_20260528_00026,scenario_02_long2_rerun_20260528,robot_0,166,robot_1,143,0,hard_negative,pcm_accepted_false_positive,passed,0.105192,0.300000,1,2960,76242,2960,6747,1.000000,0.088495,2960,76242,2960,86.494263,58.848083,3.967082,113.745789,21.455677,4.180858,2.321851,1.936888,accepted_used,1,1,a166-b143
scenario_02_long2_rerun_20260528_00028,scenario_02_long2_rerun_20260528,robot_0,168,robot_1,140,0,hard_negative,pcm_accepted_false_positive,passed,0.115924,0.300000,1,3003,83909,3003,6898,1.000000,0.082208,3003,83909,3003,78.827515,43.480217,4.965619,113.745789,21.455677,4.259649,0.716964,0.774864,accepted_used,1,1,a168-b140
scenario_02_long2_rerun_20260528_00030,scenario_02_long2_rerun_20260528,robot_0,171,robot_1,112,0,hard_negative,gicp_false_positive_not_used,passed,0.077919,0.300000,1,3010,121516,3010,8850,1.000000,0.072830,3010,121516,3010,114.710846,24.841885,4.941752,122.103592,21.455677,4.741676,6.076928,3.713770,pending_not_used,1,0,a171-b112
