pair_id,scenario,source_robot,source_key,target_robot,target_key,label,scene_type,failure_type,fitness,colrio_pcm_status,colrio_final_used,colrio_accepted_false_positive,implied_tx,implied_ty,implied_yaw_deg,pairwise_consistent_count,offline_pcm_clique_member,offline_pcm_status,offline_clique_size
scenario_01_long1_rerun_20260528_00000,scenario_01_long1_rerun_20260528,robot_1,23,robot_0,13,0,hard_negative,pcm_accepted_false_positive,0.087509,accepted_used,1,1,1.757980,-1.013476,-42.988019,4,1,accepted,4
scenario_01_long1_rerun_20260528_00001,scenario_01_long1_rerun_20260528,robot_1,29,robot_0,6,0,hard_negative,pcm_accepted_false_positive,0.151170,accepted_used,1,1,-0.077116,-0.523653,-119.047949,3,0,rejected_or_pending,4
scenario_01_long1_rerun_20260528_00002,scenario_01_long1_rerun_20260528,robot_1,35,robot_0,3,0,hard_negative,pcm_accepted_false_positive,0.295552,accepted_used,1,1,-0.812316,-0.129113,-148.995427,3,0,rejected_or_pending,4
scenario_01_long1_rerun_20260528_00044,scenario_01_long1_rerun_20260528,robot_0,22,robot_1,21,0,hard_negative,pcm_accepted_false_positive,0.057632,accepted_used,1,1,-1.539145,0.406304,46.504841,4,0,rejected_or_pending,4
scenario_01_long1_rerun_20260528_00047,scenario_01_long1_rerun_20260528,robot_0,26,robot_1,6,1,true_loop,accepted_true_loop,0.148623,accepted_used,1,0,-1.537582,0.178443,-114.586350,3,0,rejected_or_pending,4
scenario_01_long1_rerun_20260528_00060,scenario_01_long1_rerun_20260528,robot_0,42,robot_1,17,1,true_loop,accepted_true_loop,0.161855,accepted_used,1,0,-1.316290,0.365282,3.728060,7,1,accepted,4
scenario_01_long1_rerun_20260528_00061,scenario_01_long1_rerun_20260528,robot_0,43,robot_1,17,1,true_loop,accepted_true_loop,0.170878,accepted_used,1,0,-1.303019,0.374282,3.811418,7,1,accepted,4
scenario_01_long1_rerun_20260528_00088,scenario_01_long1_rerun_20260528,robot_0,70,robot_1,51,0,hard_negative,gicp_false_positive_not_used,0.262522,rejected_not_used,0,0,4.957410,0.594568,11.780234,5,1,accepted,4
scenario_01_long1_rerun_20260528_00091,scenario_01_long1_rerun_20260528,robot_0,73,robot_1,68,0,hard_negative,gicp_false_positive_not_used,0.283810,rejected_not_used,0,0,-13.693149,1.757965,1.782455,4,0,rejected_or_pending,4
scenario_01_long1_rerun_20260528_00092,scenario_01_long1_rerun_20260528,robot_0,74,robot_1,67,0,hard_negative,gicp_false_positive_not_used,0.239228,rejected_not_used,0,0,-11.670837,1.782380,2.674843,4,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00017,scenario_02_long2_rerun_20260528,robot_0,139,robot_1,131,0,hard_negative,pcm_accepted_false_positive,0.035007,accepted_used,1,1,146.109835,-47.731279,100.753407,1,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00019,scenario_02_long2_rerun_20260528,robot_0,146,robot_1,109,0,hard_negative,pcm_accepted_false_positive,0.072975,accepted_used,1,1,190.583218,25.458045,-172.125739,5,1,accepted,4
scenario_02_long2_rerun_20260528_00020,scenario_02_long2_rerun_20260528,robot_0,147,robot_1,113,0,hard_negative,pcm_accepted_false_positive,0.089392,accepted_used,1,1,191.519919,31.265380,-166.296717,6,1,accepted,4
scenario_02_long2_rerun_20260528_00021,scenario_02_long2_rerun_20260528,robot_0,148,robot_1,122,0,hard_negative,pcm_accepted_false_positive,0.096413,accepted_used,1,1,197.078971,20.592474,-176.151933,4,1,accepted,4
scenario_02_long2_rerun_20260528_00022,scenario_02_long2_rerun_20260528,robot_0,149,robot_1,122,0,hard_negative,pcm_accepted_false_positive,0.199066,accepted_used,1,1,197.085709,20.544236,-176.175051,4,1,accepted,4
scenario_02_long2_rerun_20260528_00023,scenario_02_long2_rerun_20260528,robot_0,150,robot_1,120,0,hard_negative,pcm_accepted_false_positive,0.239224,accepted_used,1,1,191.825432,40.664741,-157.585598,3,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00025,scenario_02_long2_rerun_20260528,robot_0,165,robot_1,142,0,hard_negative,pcm_accepted_false_positive,0.126081,accepted_used,1,1,77.217511,-11.584458,23.865809,3,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00026,scenario_02_long2_rerun_20260528,robot_0,166,robot_1,143,0,hard_negative,pcm_accepted_false_positive,0.105192,accepted_used,1,1,82.179959,-19.235537,32.155578,3,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00028,scenario_02_long2_rerun_20260528,robot_0,168,robot_1,140,0,hard_negative,pcm_accepted_false_positive,0.115924,accepted_used,1,1,78.730942,-16.558257,28.857330,3,0,rejected_or_pending,4
scenario_02_long2_rerun_20260528_00030,scenario_02_long2_rerun_20260528,robot_0,171,robot_1,112,0,hard_negative,gicp_false_positive_not_used,0.077919,pending_not_used,0,0,190.748757,32.180967,-165.368054,4,0,rejected_or_pending,4
