pair_id,scenario,label,scene_type,failure_type,implied_tx,implied_ty,implied_translation_m,colrio_final_used,gate_pass,gated_final_used
scenario_01_long1_rerun_20260528_00000,scenario_01_long1_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,1.757980,-1.013476,2.029194,1,1,1
scenario_01_long1_rerun_20260528_00001,scenario_01_long1_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,-0.077116,-0.523653,0.529301,1,1,1
scenario_01_long1_rerun_20260528_00002,scenario_01_long1_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,-0.812316,-0.129113,0.822513,1,1,1
scenario_01_long1_rerun_20260528_00044,scenario_01_long1_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,-1.539145,0.406304,1.591870,1,1,1
scenario_01_long1_rerun_20260528_00047,scenario_01_long1_rerun_20260528,1,true_loop,accepted_true_loop,-1.537582,0.178443,1.547902,1,1,1
scenario_01_long1_rerun_20260528_00060,scenario_01_long1_rerun_20260528,1,true_loop,accepted_true_loop,-1.316290,0.365282,1.366035,1,1,1
scenario_01_long1_rerun_20260528_00061,scenario_01_long1_rerun_20260528,1,true_loop,accepted_true_loop,-1.303019,0.374282,1.355708,1,1,1
scenario_01_long1_rerun_20260528_00088,scenario_01_long1_rerun_20260528,0,hard_negative,gicp_false_positive_not_used,4.957410,0.594568,4.992937,0,1,0
scenario_01_long1_rerun_20260528_00091,scenario_01_long1_rerun_20260528,0,hard_negative,gicp_false_positive_not_used,-13.693149,1.757965,13.805534,0,1,0
scenario_01_long1_rerun_20260528_00092,scenario_01_long1_rerun_20260528,0,hard_negative,gicp_false_positive_not_used,-11.670837,1.782380,11.806156,0,1,0
scenario_02_long2_rerun_20260528_00017,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,146.109835,-47.731279,153.708682,1,0,0
scenario_02_long2_rerun_20260528_00019,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,190.583218,25.458045,192.276038,1,0,0
scenario_02_long2_rerun_20260528_00020,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,191.519919,31.265380,194.055156,1,0,0
scenario_02_long2_rerun_20260528_00021,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,197.078971,20.592474,198.151889,1,0,0
scenario_02_long2_rerun_20260528_00022,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,197.085709,20.544236,198.153582,1,0,0
scenario_02_long2_rerun_20260528_00023,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,191.825432,40.664741,196.088290,1,0,0
scenario_02_long2_rerun_20260528_00025,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,77.217511,-11.584458,78.081647,1,0,0
scenario_02_long2_rerun_20260528_00026,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,82.179959,-19.235537,84.401135,1,0,0
scenario_02_long2_rerun_20260528_00028,scenario_02_long2_rerun_20260528,0,hard_negative,pcm_accepted_false_positive,78.730942,-16.558257,80.453322,1,0,0
scenario_02_long2_rerun_20260528_00030,scenario_02_long2_rerun_20260528,0,hard_negative,gicp_false_positive_not_used,190.748757,32.180967,193.444315,0,0,0
