pair_id,scenario,query_robot,query_key,candidate_robot,candidate_key,candidate_rank_within_query,sc_distance_raw_to_target,sc_shift_raw_to_target,sc_distance_init_to_target,sc_shift_init_to_target,sc_distance_gicp_to_target,sc_shift_gicp_to_target,ring_key_l2_gicp_to_target,within_threshold_after_gicp,label,scene_type,failure_type,gicp_status,pcm_status,final_used
scenario_01_long1_rerun_20260528_00000,scenario_01_long1_rerun_20260528,robot_1,23,robot_0,13,1,0.105326,9,0.097429,51,0.042656,0,0.506152,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00001,scenario_01_long1_rerun_20260528,robot_1,29,robot_0,6,1,0.122581,21,0.246738,9,0.053675,0,0.551882,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00002,scenario_01_long1_rerun_20260528,robot_1,35,robot_0,3,1,0.137503,27,0.200466,11,0.092938,0,0.588262,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00044,scenario_01_long1_rerun_20260528,robot_0,22,robot_1,21,1,0.264328,7,0.217565,10,0.047063,0,0.920824,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00047,scenario_01_long1_rerun_20260528,robot_0,26,robot_1,6,1,0.185427,11,0.171691,1,0.034503,0,0.949219,1,1,true_loop,accepted_true_loop,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00060,scenario_01_long1_rerun_20260528,robot_0,42,robot_1,17,1,0.296247,30,0.308410,32,0.069073,0,1.679587,1,1,true_loop,accepted_true_loop,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00061,scenario_01_long1_rerun_20260528,robot_0,43,robot_1,17,1,0.275105,31,0.266736,33,0.074538,0,1.803662,1,1,true_loop,accepted_true_loop,passed,accepted_used,1
scenario_01_long1_rerun_20260528_00088,scenario_01_long1_rerun_20260528,robot_0,70,robot_1,51,1,0.183305,0,0.227508,29,0.166113,0,3.475046,1,0,hard_negative,gicp_false_positive_not_used,passed,rejected_not_used,0
scenario_01_long1_rerun_20260528_00091,scenario_01_long1_rerun_20260528,robot_0,73,robot_1,68,1,0.166520,0,0.207637,0,0.252107,0,4.223158,1,0,hard_negative,gicp_false_positive_not_used,passed,rejected_not_used,0
scenario_01_long1_rerun_20260528_00092,scenario_01_long1_rerun_20260528,robot_0,74,robot_1,67,1,0.178481,0,0.215721,1,0.279023,0,3.993636,1,0,hard_negative,gicp_false_positive_not_used,passed,rejected_not_used,0
scenario_02_long2_rerun_20260528_00017,scenario_02_long2_rerun_20260528,robot_0,139,robot_1,131,1,0.243576,16,0.811729,0,0.230444,0,0.268483,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00019,scenario_02_long2_rerun_20260528,robot_0,146,robot_1,109,1,0.267166,1,0.282434,0,0.146296,0,0.433066,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00020,scenario_02_long2_rerun_20260528,robot_0,147,robot_1,113,1,0.284007,3,0.207303,0,0.155730,0,0.439884,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00021,scenario_02_long2_rerun_20260528,robot_0,148,robot_1,122,1,0.278119,1,0.162478,0,0.172075,0,0.353534,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00022,scenario_02_long2_rerun_20260528,robot_0,149,robot_1,122,1,0.281700,1,0.090011,1,0.146595,0,0.352032,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00023,scenario_02_long2_rerun_20260528,robot_0,150,robot_1,120,1,0.267169,4,0.069757,1,0.151103,0,0.356798,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00025,scenario_02_long2_rerun_20260528,robot_0,165,robot_1,142,1,0.330769,34,0.267451,0,0.231122,0,0.243979,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00026,scenario_02_long2_rerun_20260528,robot_0,166,robot_1,143,1,0.341188,36,0.156043,0,0.232991,0,0.247586,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00028,scenario_02_long2_rerun_20260528,robot_0,168,robot_1,140,1,0.413930,35,0.086524,1,0.070730,0,0.196736,1,0,hard_negative,pcm_accepted_false_positive,passed,accepted_used,1
scenario_02_long2_rerun_20260528_00030,scenario_02_long2_rerun_20260528,robot_0,171,robot_1,112,1,0.264706,32,0.797578,58,0.101450,0,0.418467,1,0,hard_negative,gicp_false_positive_not_used,passed,pending_not_used,0
